category,description,image_url,main_category,name,price
Karmy mokre,Kompletna karma dla kociąt z kurczakiem.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kitten kurczak sszera.jpg,Koty,stuzzy kitten kurczak na parze,"2,86"
Karmy mokre,Naturalna mokra karma dla kotów dorosłych.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/NATURO CAT ADULT TUNA_v3.jpg,Koty,NATURO adult MUS Z TUŃCZYKIEM,"3,67"
Karmy mokre,Uzupełniająca karma dla dorosłych kotów z tuńczykiem.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/SCHESIR-tuńczyk-szynka.jpg,Koty,schesir tuńczyk z szynką w rosole,"5,42"
Karmy mokre,Uzupełniająca karma dla dorosłych kotów z kurczakiem i wołowiną.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/SCHESIR-kurczak-wolowina.jpg,Koty,schesir kurczak z wołowiną w rosole,"5,42"
Karmy mokre,Uzupełniająca karma dla dorosłych kotów z kurczakiem i cefalem.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Schesir-kurczak-cefal.jpg,Koty,schesir kurczak z cefalem w rosole,"5,42"
Karmy mokre,Uzupełniająca karma dla dorosłych kotów z tuńczykiem i sardynkami.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/1fb57487d4f93b2f204dcae92a91aeb8.jpg,Koty,schesir tuńczyk z sardynką w rosole,"5,42"
Karmy mokre,Uzupełniająca karma dla dorosłych kotów z filetami z kurczaka i tuńczykiem.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/rgythhr56424yhadfbzhs5a.jpg,Koty,schesir tuńczyk i kurczak,"5,42"
Karmy mokre,Uzupełniająca karma dla dorosłych kotów z filetami z kurczaka.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kncdshvwyhcucvuehrfuwD.jpg,Koty,schesir filet z kurczaka,"5,42"
Karmy mokre,Uzupełniająca karma dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/eat5y46thbzg4374w.jpg,Koty,schesir paseczki kurczaka w sosie,"5,42"
Karmy mokre,Uzupełniająca karma dla kociąt z filetami z kurczaka.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/rt3qrgdfghwryw4tnfghwuw.jpg,Koty,schesir kitten filet z kurczaka,"5,42"
Karmy mokre,Uzupełniająca karma dla kociąt z tuńczykiem.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dhw67w6nfgnsft7e5yj.jpg,Koty,schesir kitten filet z tuńczyka,"5,42"
Karmy mokre,Przepyszne dania Miamor Happchen.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/lplplplplplpl.jpg,Koty,miamor happchen kawałki indyka w sosie,"3,22"
Karmy mokre,Pełnowartościowa karma dla kociąt od 4.tygodnia życia.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/83436_VomFeinstenKitten_BabyPate_Export.jpg,Koty,ANIMONDA VOM FEINSTEN kitten BABY PATE,"3,67"
Karmy mokre,P,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/83437_VomFeinstenAdult_PoultryVeal_Export.jpg,Koty,ANIMONDA VOM FEINSTEN ADULT DRÓB+CIELĘCINA,"3,67"
Karmy mokre,Idealna karma mokra specjalnie dla dorosłych kotów rasybrytyjski krótkowłosy.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/royal brytyjski kot ejhfyshfgvuwg.jpeg,Koty,ROYAL CANIN British Shorthair,"5,52"
Karmy mokre,"Rozwiązanie żywieniowe opracowane specjalnie dla kotów dorosłych o wrażliwej skórze i słabej jakości sierści, preferujących kawałki w galaretce.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/intense beauty jelly.jpg,Koty,ROYAL CANIN Intense Beauty in Jelly,"4,81"
Karmy mokre,"Rozwiązanie żywieniowe opracowane specjalnie dla dorosłych kotów, wspierające ochronę dolnych dróg moczowych (kawałki nasączone smakowitym sosem)",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/urinary.jpg,Koty,ROYAL CANIN Urinary Care CONTROL,"4,81"
Karmy mokre,Rozwiązanie żywieniowe opracowane specjalnie dla kociąt w drugim etapie wzrostu (od 4 do 12 miesiąca życia) oraz kotek w ciąży.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kitten sauce.jpg,Koty,ROYAL CANIN Kitten Instinctive,"5,52"
Karmy mokre,"Rozwiązanie żywieniowe opracowane specjalnie dla dorosłych kotów, z tendencją do powstawania kul włosowych (kawałki nasączone smakowitym sosem)",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/hairball.jpg,Koty,ROYAL CANIN HAIRBALL Care CONTROL,"4,81"
Karmy mokre,"Rozwiązanie żywieniowe opracowane specjalnie dla dorosłych kotów z tendencją do nadwagi, preferujących kawałki w galaretce.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ultra light jelly.jpg,Koty,ROYAL CANIN Ultra Light in Jelly,"4,81"
Karmy mokre,"Rozwiązanie żywieniowe opracowane specjalnie dla dorosłych kotów z problemami skórnymi i matową sierścią, preferujących kawałki w sosie.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/intense beauty sos.jpg,Koty,ROYAL CANIN Intense Beauty,"4,81"
Karmy mokre,"Rozwiązanie żywieniowe opracowane specjalnie dla dorosłych kotów z tendencją do nadwagi, preferujących kawałki w sosie.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ultra light sauce.jpg,Koty,ROYAL CANIN Ultra Light,"4,81"
Karmy mokre,"Rozwiązanie żywieniowe opracowane specjalnie dla dorosłych kotów o wrażliwym przewodzie pokarmowym, preferujących kawałki w sosie.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/digest sensitive sauce.jpg,Koty,ROYAL CANIN Digest Sensitive,"4,81"
Karmy mokre,Mokra karma z,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/bozita-feline-funktion-k_3290 junior.jpg,Koty,Bozita Feline Kitten z kurcząt w galaretce,"5,37"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów wszystkich ras.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dolina-noteci-premium-filet-z-łososia-w-sosie bnjnghmfg.jpg,Koty,dolina noteci premium filet z łososia w sosie,"5,99"
Karmy mokre,Mokra karma dla kota uzupełniająca z dużą zawartością mięsa w sosie.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ebb7b3fe937ce83270a556e0495a6394 ryba.jpg,Koty,brit care cat Pouch Seabream - leszcz w sosie,"4,70"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów. Z tuńczykiem.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/tunczyk w galarecie sjdfuiwGRnhFbzdghsrhdfbdzghrh.jpg,Koty,whiskas tuńczyk w galarecie,"5,95"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów. Z Jagnięciną.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/jagniecina w sosie asndfbefghdefbgrjthmfbdf.jpg,Koty,whiskas jagnięcina w sosie,"5,95"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów. Z kaczką.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kaczka mokra aklsfnhksbhdgzhsdnfbg.jpg,Koty,whiskas kaczka w galarecie,"5,95"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów. Z Wołowiną.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/wolowina w sosie sdjbgukaefhgbksd jbhgerhsrjt7ki.jpg,Koty,whiskas wołowina w sosie,"5,95"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/wolowina w sosie xmkfsnfugdffgj.jpg,Koty,whiskas wołowina w sosie,"2,56"
